text;label
mean intensity of objects in map;23
mean intensity to label map;23
mean intensity of labels to image;23
mean intensity of each label;23
mean intensity map from labels;23
mean intensity by label;23
mean intensity from label map;23
mean intensity from labels;23
extend image mirroring no repeat single view boundary;24
extend image mirroring single dimension;24
extend image mirroring no repeat single view boundary;24
"extend image with mirroring; no repetition";24
extend image with mirroring, no repeat boundary;24
extend image with mirroring, no repetition, single view;24
extend image mirroring no boundary;24
mirror image boundaries;24
extend image mirroring boundary;24
"extend image with mirroring; single view";24
extend image mirroring single view;24
extend image with mirror boundary;24
extend image mirroring no repeat;24
extend image with mirroring;24
set image column values;25
set image column value;25
set image column to constant;25
set image column to a constant;25
set image column to value;25
set image column to constant;25
set image column to value;25
set image column to constant value;25
set image column to specific value;25
set image column to a fixed value;25
set column pixels to constant;25
constant value for image column;25
set image column to constant value;25
set image column to fixed value;25
group data by annotations;26
group images by annotations;26
group data into one output;26
group images by annotations;26
combine images with annotations;26
group data based on matching criteria;26
group images by annotations;26
merge data based on custom criteria;26
group data by matching annotations;26
merge data with custom groups;26
merge data based on groups;26
group data with matching strategy;26
merge data with groups;26
merge data by groups;26
split data into outputs with unique items;27
distribute data to outputs by count;27
split data into outputs with specific counts;27
split data into random groups;27
split data into outputs with unique data items;27
split data into outputs with specified number of items;27
randomly split data into groups;27
split data into outputs based on annotation groups;27
randomly divide data into specified output counts;27
split data into subsets;27
split data into outputs with unique data;27
split data into outputs with specified counts of unique items;27
split data into outputs with specified counts and no overlap;27
split data into outputs with specified counts of unique data;27
label boundaries from image;28
detect label boundaries;28
find label boundaries;28
detect edges from labelmap;28
detect edges between labels;28
extract boundaries from label image;28
labelmap edge extraction;28
find label boundaries;28
label edges image;28
labelmap edge detection;28
find edges of labelmap;28
mark label boundaries;28
highlight boundaries of labels;28
detect edges between labels;28
image to float32;29
convert image to float;29
convert image to float;29
convert image to float32;29
image to single precision;29
convert image to single precision float;29
image to float;29
convert image to 32-bit float;29
convert image to 32 bit float;29
convert image to 32-bit float;29
convert image to 32-bit;29
convert image to 32-bit floating point;29
convert image to single precision;29
image to float;29
load imagej image;30
load imagej image into jipipe pipeline;30
load imagej image to pipeline;30
transfer imagej image to pipeline;30
bring imagej image to jipipe;30
import imagej image into pipeline;30
load imagej images into pipeline;30
bring imagej image to pipeline;30
load imagej image;30
load imagej image into pipeline;30
import imagej image into jipipe;30
import imagej image into jipipe pipeline;30
add imagej image to pipeline;30
bring imagej image to jipipe;30
load image with transparency;31
import image with alpha channel;31
import image with transparency;31
import image with alpha;31
import image with transparency;31
import image with alpha;31
import image with transparency;31
import image with alpha;31
load image with alpha;31
load image with transparency;31
load image with alpha channel;31
import image with alpha;31
import image with transparency;31
import image with alpha;31
create 3D ROI from label;32
3d roi from label image;32
3d roi from image labels;32
label image to 3D regions;32
convert labels to 3D ROI;32
convert labels to 3D regions;32
convert label to 3D ROI;32
3d roi from image labels;32
convert label to 3D ROI;32
convert label image to 3D regions;32
3D regions from labels;32
label image to 3D ROI;32
create 3D regions from label image;32
create 3D regions from labels;32
combine images with OR operator;33
combine images with OR operation;33
binary or two images;33
pixel-wise or operation;33
combine images with logical OR operation;33
pixel-wise or of two images;33
binary or two images;33
binary or image operation;33
combine images with bitwise OR;33
bitwise or operation on images;33
binary image from two images;33
bitwise or two images;33
logical or for images;33
combine two images with logical OR;33
segment bright spots with background subtraction, thresholding and erosion;34
segment bright spots with background subtraction and morphological operations;34
segment bright spots with background subtraction and dilation erosion;34
segment bright spots with dilation and erosion;34
segment bright spots with dilation and hole filling;34
segment bright spots with background subtraction and dilation erosion hole filling;34
segment bright objects with background subtraction;34
segment bright spots with morphological operations;34
segment bright spots with thresholding;34
find bright objects in images;34
segment spots in images;34
segment bright spots with background removal and hole filling;34
segment bright spots with background subtraction and auto thresholding;34
segment bright spots with automatic thresholding;34
weka model from single image labels;35
train weka from labels;35
train weka model from image;35
train weka from labels;35
train weka with annotations;35
train weka model from single labels;35
weka training with image data;35
train weka model from labeled data;35
weka training with labeled data;35
train weka model from labeled image;35
train weka model single image;35
weka model training from labels;35
train weka from image labels;35
train model from image labels;35
collapse image to composite;36
collapse image dimensions;36
collapse image dimensions;36
collapse image dimensions to composite view;36
collapse image dimensions to view;36
collapse image dimensions to composite;36
collapse image dimensions to composite;36
reduce image dimensions to composite view;36
reduce image dimensionality;36
collapse image dimensions;36
collapse image to single view;36
collapse to single image;36
collapse views to single image;36
collapse views to single image;36
omero screen id;37
omero screen retrieval;37
omero screen retrieval;37
omero screen search criteria;37
find omero screens;37
omero screen search;37
omero screen filtering;37
omero screen list;37
omero screen find by parameters;37
omero screen criteria;37
omero screen search by parameters;37
omero screen find;37
omero screen list;37
omero screen retrieval by criteria;37
find n closest points in matrix efficiently;38
find n nearest neighbors;38
find closest points in distance matrix;38
find n closest points;38
find n nearest points in matrix;38
find n closest points in matrix;38
find nearest neighbors in distance matrix;38
find n closest points to each point;38
find n closest points to each point;38
find n closest points from distance matrix efficiently;38
find n closest points in distance matrix quickly;38
find n closest points in distance matrix;38
find n closest points from distance matrix;38
find n closest points from a distance matrix;38
classify image objects with regional features and labels;39
image classification with regional features and labels;39
image classification with regional features and labels;39
classify image objects with regional features;39
image object classification with labels;39
regional classification with labels and features from neighbors;39
classify image objects with regional features using a model;39
classify image objects with regional features;39
classify labeled image objects based on regional properties;39
classify labeled image objects with features;39
classify image regions with machine learning;39
regional image classification with labels and features;39
regional classification with trained model and labels;39
regional image classification with trained model;39
group multiple outputs;40
group outputs;40
node group output;40
group outputs together;40
combine node outputs;40
output node group;40
collect outputs from group;40
group outputs from nodes;40
node group final output;40
combine outputs from a group;40
combine node outputs;40
collect outputs;40
group node results;40
combine group results;40
split image into tiles and handle borders;41
split image into tiles, resize if not divisible;41
split image to tiles and resize;41
split image into tiles and pad;41
split image into tiles, resize if necessary;41
split image into equal parts;41
split image into tiles;41
image tiling;41
image tiling with resizing;41
split image into tiles;41
split image into tiles;41
split image into tiles, handling non-divisible dimensions;41
split image into tiles, resize if needed;41
split image into equal parts;41
flip stack yz axes;42
flip stack yz axes;42
flip stack yz axes;42
flip yz image stack;42
flip stack yz axes;42
flip stack yz axes;42
flip yz stack;42
flip stack yz axes;42
flip stack y and z axes;42
flip stack yz axes;42
flip image stack yz axes;42
flip stack y and z;42
flip image stack yz;42
flip stack yz;42
ramp by z position;43
map pixel value to z position;43
assign z position to pixels;43
ramp z coordinate to pixels;43
map pixels to z position;43
assign z position to pixels;43
assign z coordinate to pixel value;43
ramp pixels by z coordinate;43
map z to pixel value;43
set pixel value to z coordinate;43
set pixel value to z position;43
ramp based on z coordinate;43
assign z value to pixels;43
assign z coordinate to pixels;43
image pixel standard deviation;44
image standard deviation calculation;44
image pixel statistics;44
image standard deviation of all pixels;44
image pixel std deviation value;44
image pixel standard deviation value;44
image std deviation all pixels;44
image standard deviation from all pixels;44
image pixel stddev;44
image standard deviation calculation;44
image standard deviation;44
image pixel std dev;44
image pixel variation calculation;44
image standard deviation;44
fast local thresholding;45
adaptive image thresholding;45
find local thresholding method;45
automatic local thresholding;45
find local image threshold;45
automatic image thresholding;45
stack multiply by plane image;46
multiply stack with plane image;46
image stack multiply with 2d image;46
stack multiplication with image;46
multiply image stack with plane;46
multiply stack with image plane;46
multiply stack with image plane;46
stack multiply with image plane;46
pixel-wise stack multiplication;46
multiply image stack with 2d image plane;46
stack multiply by image;46
multiply image stack by plane;46
multiply image stack with plane;46
multiply image stack with 2d image;46
region statistics with grouping;47
measure ROI data;47
calculate region statistics;47
region statistics from ROI;47
group ROI measurements;47
ROI data per annotation;47
roi statistics table;47
region statistics by annotation;47
region of interest measurements;47
statistics from regions of interest;47
ROI data grouped by region;47
ROI statistics from annotations;47
ROI measurements grouped by annotation;47
generate statistics from regions;47
detect lines as mask;48
find lines in images;48
find image lines;48
detect ridges in images;48
detect lines and output mask;48
detect lines in image;48
detect lines and create a mask;48
detect lines as binary mask;48
detect ridges and output mask;48
detect lines to mask;48
detect lines to binary mask;48
find image ridges;48
detect ridges in images;48
detect lines as mask;48
skeleton to filaments with grouping;49
group skeleton data into filaments;49
skeleton to filaments and group data;49
skeleton to filaments with annotation grouping;49
skeleton to filaments and data grouping;49
group filaments by skeleton annotations;49
skeleton to filaments and group;49
group filaments by annotations;49
group filaments by annotations;49
group filaments from skeleton;49
group skeleton data by annotations;49
skeleton to filaments;49
convert skeleton to filaments and group data;49
convert skeleton to filaments;49
correct slice intensity drift;50
equalize mean intensity per slice;50
equalize slice mean intensities;50
equalize mean slice intensity;50
equalize average slice intensity;50
correct uneven slice brightness;50
correct uneven slice intensities;50
equalize slice average intensity;50
normalize slice intensities;50
correct slice intensity variation;50
equalize slice mean intensity;50
correct slice intensity differences;50
match slice intensities;50
equalize mean slice intensity;50
calculate image intensity co-occurrence matrix;51
image co-occurrence matrix calculation;51
3d grey level co-occurrence matrix;51
3d grey value co-occurrence calculation;51
grey level co-occurrence matrix from image;51
image grey value co-occurrence 3d;51
3d grey value co-occurrence matrix;51
grey value cooccurrence matrix 3d;51
grey value cooccurrence matrix for images;51
co-occurrence matrix from grey values;51
3d grey level co-occurrence;51
grey value cooccurrence matrix;51
calculate grey level co-occurrence;51
3d image intensity co-occurrence;51
local thresholding with integral images;52
local thresholding integral image;52
local thresholding with integral images;52
fast niblack integral images;52
fast niblack thresholding performance;52
local thresholding speed optimization;52
speed up local thresholding;52
optimize niblack thresholding speed;52
fast local thresholding;52
fast local thresholding with integral images;52
speed up niblack thresholding;52
local thresholding with integral image;52
fast niblack thresholding;52
fast local thresholding for microscopy images;52
convert imp image to imagej;53
convert imp to image;53
convert imp image to imagej format;53
convert imp to imagej1 image;53
convert image with transparency to image;53
convert image with transparency to imagej;53
convert transparent image to standard format;53
convert transparent image to standard image;53
convert imp to image;53
convert imp image to standard image;53
convert imp to imagej;53
convert imp to standard format;53
convert image with transparency to imagej;53
convert transparent image to imagej;53
3D image maximum along x;54
project 3d image to 2d max intensity x;54
3d to 2d max x projection;54
max intensity projection along x;54
maximum intensity projection x;54
3d to 2d max x;54
maximum intensity projection x;54
3d image max projection x;54
2D max projection x;54
maximum x projection 3d to 2d;54
maximum x projection 3d;54
maximum intensity projection x axis;54
maximum projection x;54
2D maximum projection along x;54
find minimum value of touching object neighbors;55
minimum value of neighbors;55
minimum value of neighbors based on touch matrix;55
find minimum value of touching objects using a matrix;55
find minimum value of touching labels;55
find minimum neighbor value using touch matrix;55
minimum of neighbors using touch matrix;55
find minimum value of touching objects with matrix;55
find minimum value of touching objects based on neighborhood;55
minimum value from neighboring objects;55
find minimum value of neighbors with touch matrix and values;55
find minimum value of neighboring objects;55
minimum value of neighbors;55
minimum value from touching objects;55
image data access;57
image iterable from image;57
view image as iterable;57
image iterable view;57
image iterable access;57
image iterable source;57
image iterable access;57
image iterable access;57
access image data points;57
image iterable;57
view image iterable;57
convert image to iterable;57
image iterable creation;57
image iterable conversion;57
remove largest area connected component;58
remove largest area label;58
remove largest label by area;58
remove biggest object;58
remove largest connected region;58
remove largest area label;58
remove biggest object;58
remove largest connected region;58
remove biggest object;58
remove label by size;58
remove biggest label;58
remove largest connected component;58
remove largest area object;58
remove largest area connected object;58
3d binary aspect ratio measurement;59
3d binary shape measurement;59
3d binary shape properties;59
3d image shape analysis;59
3d binary image shape descriptor;59
3d binary shape analysis;59
3d binary image shape ratio;59
3d binary image shape measurement;59
3d binary aspect ratio measurement;59
3d image ratio measurement;59
3d image aspect ratio;59
calculate 3d binary aspect ratio;59
3d binary image ratio;59
3d binary image aspect ratio;59
ROI list filtering;60
ROI list subset;60
ROI sublist from list;60
ROI list filtering;60
ROI list subdivision;60
ROI list extraction range;60
select ROI range;60
extract ROI sublist;60
ROI list segment;60
ROI list section;60
ROI list partitioning;60
ROI list range;60
ROI list trimming;60
ROI list division;60
map pixels to y;61
pixels to y position;61
set pixel value to y coordinate;61
pixels to y coordinate;61
map pixels to y coordinate;61
set pixel value to y;61
pixels to y value;61
set pixel value to y coordinate;61
pixels to vertical position;61
set pixel value to y position;61
assign pixel value to y position;61
assign pixel value to y position;61
assign y value to pixels;61
set pixel value to y;61
filament graph cycles to components;62
filament graph cycles to components;62
filament graph cycles to components;62
filament graph to cycle components;62
filament graph cycles to components;62
filament graph cycles to individual components;62
filament graph cycle components;62
filament graph cycles to components;62
split filament cycles into components;62
extract cycles from filament graph;62
split filament cycles into components;62
filament graph cycle extraction;62
find cycles in filament graph;62
filament graph cycles to separate components;62
convert real type to double;63
copy real type double precision;63
copy real type as double;63
copy real type to real type;63
copy real type to double;63
copy real type to double precision;63
copy real type to double precision;63
copy real type to double;63
copy real type to double precision;63
copy real type to double precision;63
copy real type to double;63
copy real type to double precision;63
copy real type to double precision;63
copy double precision real type;63
fft correlation;64
correlate images with fft;64
fft correlation of images;64
correlate interval fft;64
correlate images fft;64
correlate interval using fft;64
correlate interval fftc;64
correlate images fftc;64
fft correlation interval;64
correlate interval;64
correlate images using fft;64
correlate images using fft;64
correlate interval using fftc;64
correlate images using fft;64
lower image intensity by 1;65
decrement image intensity;65
subtract 1 from image;65
reduce image intensity by one;65
decrease image value by one;65
decrease image intensity by 1;65
lower image value by one;65
subtract one from image;65
reduce image intensity by one;65
subtract one from image values;65
decrease image by one;65
reduce image intensity by one;65
subtract 1 from image;65
decrease image by one;65
connect label centroids into a mesh;66
draw lines between touching labels with intensity;66
draw lines connecting label centroids;66
create mesh from touching labels;66
connect centroids of touching labels;66
mesh from label neighbors;66
label mesh from touching objects;66
draw lines between touching objects;66
draw connections between touching labels;66
connect touching labels with lines;66
label mesh from centroids;66
mesh touching labels centroids;66
draw lines between touching labels in 3d;66
connect label centroids with lines;66
load file from path;67
read file data;67
load file from path;67
convert file path to data;67
access data from file path;67
read file from path;67
get file data from path;67
load file data from path;67
convert path to file data;67
access file data from path;67
load file data from path;67
read image from file path;67
load image data from path;67
load file data;67
set all pixels to fixed value;68
constant pixel value;68
set pixels to constant value;68
set pixels to a number;68
set all image pixels to a value;68
set all pixels to specific value;68
set all pixels to constant;68
set all pixels to a number;68
set image to constant value;68
set all pixels to a fixed number;68
set all pixels to constant;68
set image pixels to a constant;68
set all pixels to value;68
set all pixels to fixed value;68
bitwise and of binary images;70
bitwise and of two images;70
binary intersection with two images;70
binary image intersection;70
pixelwise image intersection;70
pixelwise binary operation on images;70
pixelwise and of two images;70
binary intersection of images;70
pixelwise logical AND of images;70
pixelwise bitwise intersection;70
pixelwise binary intersection;70
binary image intersection;70
bitwise and of images;70
binary intersection of images;70
image rotation and scaling;71
image scaling, rotation, and shearing with transform string;71
image geometric transformations;71
image rotation, scaling, and translation;71
image rotation, scaling, and translation;71
image geometric transformations;71
image scaling, rotation, and shearing with a transform string;71
"image transforms with scaling; rotation and shearing";71
image scaling, rotation, and shearing in 3D;71
image scaling, rotation, and shearing with specific factors;71
image scaling, rotation and translation with transform string;71
image scaling, rotation, and shearing with custom parameters;71
image scaling, rotation, and shearing with a transform string;71
image scaling and rotation with custom transforms;71
find maximum intensity of neighboring labels;72
map maximum intensity of neighbors to labels;72
find maximum intensity of nearby labels;72
map label maximum intensity to neighbors;72
find maximum intensity in label neighborhood;72
map intensity from labels to neighbors;72
maximum intensity of neighbors;72
maximum intensity of labels based on neighbors;72
map maximum neighbor intensity to labels;72
find maximum intensity of nearby labels in image;72
maximum intensity from neighboring labels in map;72
maximum intensity of neighbors in label map;72
maximum intensity of nearest neighbors;72
maximum intensity of nearby labels;72
show image quickly asynchronously;73
display image quickly;73
show image asynchronously;73
display image quickly;73
display image quickly;73
display image asynchronously;73
show image asynchronously;73
show image asynchronously;73
show image asynchronously fast;73
show image asynchronously quickly;73
show image async;73
show image asynchronously fast;73
show image quickly asynchronously;73
show image async fast;73
save image as ilastik hdf5;74
save image as ilastik hdf5;74
export image to hdf5;74
export image for ilastik;74
export image to ilastik;74
save image as ilastik hdf5;74
save image for ilastik;74
convert image to ilastik hdf5;74
export image as hdf5 for ilastik;74
convert image to ilastik hdf5;74
export image to ilastik format;74
save image for ilastik;74
convert image to ilastik hdf5;74
ilastik image format export;74
convert image to 16 bit grayscale;75
convert to 16-bit;75
make image 16 bit;75
convert to 16 bit image;75
image to 16-bit conversion;75
make image 16-bit;75
convert to 16 bit grayscale;75
change image depth to 16 bit;75
convert to 16 bit;75
convert image to 16bit;75
convert image to 16 bit;75
image to 16 bit conversion;75
convert image to 16-bit;75
make image 16bit;75
binary image union;76
binary image union of pixels;76
binary image combination;76
binary or from two images;76
binary image or operation;76
binary image pixel-wise or;76
pixel-wise binary or;76
binary image bitwise or;76
combine binary images;76
binary image or operation with two images;76
binary image combine pixels;76
binary image logical or;76
binary image combination with OR operator;76
binary image combination;76
remove single connections;77
remove vertices with degree <= 1;77
remove endpoints;77
remove graph vertices with degree one;77
remove degree 1 vertices;77
remove single pixel connections;77
prune graph ends;77
remove isolated points;77
simplify graph by removing ends;77
remove vertices with degree one;77
prune graph vertices;77
remove graph vertices with degree <= 1;77
prune graph vertices with degree less than 2;77
prune graph vertices with degree less than or equal to 1;77
segment objects using seed and background circles;78
segment objects with seed and background measurements;78
segment objects using seed and background circles with adjustable threshold;78
segment 3D objects from seeds and background;78
segment objects from seeds and background intensities;78
segment 3D objects with local thresholding;78
segment objects using seed and background means;78
segment spots with local thresholding;78
segment 3D objects with seed-based local thresholding;78
segment objects using seed and background circles;78
segment objects with seed and background means;78
segment objects using seed and background measurements;78
segment objects based on seed and background intensities;78
segment objects using seed and background intensity;78
compartment output;79
compartment data output;79
compartment output data;79
compartment data export;79
compartment data to output;79
compartment contents export;79
output compartment data;79
output compartment data;79
compartment data access;79
compartment output data;79
compartment contents output;79
compartment output data stream;79
compartment data stream;79
compartment data retrieval;79
crop to rectangular region of interest;80
cut image to region;80
crop to selection;80
crop to region of interest;80
isolate region of interest;80
extract image area;80
cut image to roi;80
remove image borders;80
cut image to selection;80
crop image region of interest;80
crop image to rectangular area of interest;80
select image area;80
image region extraction;80
crop image to rectangular region;80
multiply image stack with scalars;81
scale image stack values;81
scale image values by array;81
multiply image stack with constants;81
multiply image stack by array;81
multiply image stack by scalars;81
scale image stack by scalars;81
multiply image stack with scalar values;81
multiply image stack with scalar list;81
multiply image stack with scalar array;81
multiply image stack with numbers;81
multiply image stack with scalar list;81
multiply image stack with constants;81
multiply image stack by scalars;81
image orientation features;82
extract image orientation features;82
image orientation features;82
image texture orientation;82
image orientation quantification;82
image orientation quantification;82
image orientation detection;82
image orientation descriptors;82
image orientation features;82
image orientation analysis;82
image orientation features extraction;82
image orientation features extraction;82
image orientation detection;82
image orientation features;82
align images to a reference;83
image alignment with rules;83
align images with grouped annotations;83
register images with defined transformations;83
align images to reference slice;83
register image slices to each other;83
align images with slice-specific rules;83
align images with slice-based rules;83
align slices using transformations;83
align images with slice-specific transformations;83
register images with slice grouping;83
align images using defined rules;83
align images with slice-specific settings;83
align images with grouped data;83
flood fill roi;84
fill roi outlines;84
flood fill magic wand;84
flood fill and group;84
flood fill outlines;84
flood fill annotations;84
fill roi annotations;84
group data from roi;84
flood fill magic wand;84
roi flood fill outlines;84
roi flood fill outlines;84
fill roi outlines;84
fill roi and generate outlines;84
flood fill roi outlines;84
split complex image components;85
complex image split real imaginary;85
split complex image into components;85
complex image real and imaginary parts;85
complex image split real/imaginary parts;85
complex image to real/imaginary parts;85
complex image components;85
split complex image into components;85
extract real and imaginary parts;85
complex image real/imaginary separation;85
complex image separate real imaginary;85
separate real and imaginary image parts;85
complex image real imaginary split;85
complex image to real and imaginary;85
intensity outside range to 0 or 1;86
set pixels to 0 or 1 based on intensity;86
intensity to binary by range;86
intensity outside range clipping;86
intensity outside range to zero or one;86
intensity outside range to binary;86
intensity outside range to binary mask;86
intensity threshold outside range;86
intensity outside range to binary values;86
intensity range clipping to binary;86
intensity threshold to binary;86
intensity outside range to 0/1;86
clip intensity to binary;86
intensity range to binary mask;86
find connected local maxima;87
detect image peaks;87
find image plateaus;87
find grouped maxima;87
find local maxima in images;87
find local maxima in images;87
find connected maxima plateaus;87
detect extended local maxima;87
find image maxima plateaus;87
detect image peaks and plateaus;87
find flat maxima in images;87
find local maxima in image;87
detect plateaus in image intensity;87
detect grouped maxima in images;87
draw scale bar with grouping;88
draw scale bar with overlay control;88
draw scale bar with overlay control;88
draw scale bar with grouped data slots;88
draw scale bar with overlay grouping;88
draw scale bar with groups;88
draw scale bar with annotations;88
draw scale bar with data grouping;88
draw scale bar with data grouping;88
